team,net_rating,pace,ato,efg_pct,ortg,drtg,seed,region,is_qualified,logo
Charleston Southern,+4.4,74.1,1.209,.550,110.1,105.7,,,0,
Charlotte,-1.7,64.5,1.101,.535,111.6,113.3,,,0,
Chattanooga,+2.1,68.1,1.594,.551,112.7,110.5,,,0,
Chicago State,-15.5,65.9,1.114,.455,99.4,114.9,,,0,
Cincinnati,+8.0,69.2,1.407,.505,105.3,97.3,,,0,
Clemson,+11.2,65.5,1.362,.526,112.4,101.2,7,South,1,
Cleveland State,-8.6,71.5,1.211,.547,111.6,120.2,,,0,
Coastal Carolina,+1.0,68.9,0.963,.486,104.0,103.0,,,0,
Colgate,+2.7,66.9,1.446,.542,111.7,109.0,15,West,1,
College of Charleston,+2.9,68.5,1.262,.501,109.2,106.2,,,0,
Colorado,+0.8,70.1,1.539,.532,113.2,112.5,,,0,
Colorado State,+7.6,64.6,1.347,.585,117.8,110.1,6,West,1,
Columbia,+7.3,67.6,1.215,.541,112.4,105.2,,,0,
Coppin State,-21.3,69.4,0.760,.463,94.0,115.4,,,0,
Cornell,+7.0,72.1,1.821,.599,121.5,114.6,,,0,
Creighton,+0.1,68.5,1.372,.531,109.2,109.1,3,Midwest,1,
Dartmouth,-1.3,69.7,1.139,.529,108.2,109.5,,,0,
Davidson,+6.6,64.5,1.317,.535,109.9,103.3,,,0,
Dayton,+6.5,68.1,1.192,.517,108.0,101.5,5,South,1,
DePaul,+1.0,67.7,1.250,.498,103.7,102.7,,,0,
Delaware,-9.6,64.2,1.008,.528,103.3,112.9,,,0,
Delaware State,-13.9,66.5,0.803,.440,91.2,105.1,,,0,
Denver,0.0,69.5,1.184,.553,119.2,119.2,,,0,
Detroit Mercy,-0.2,70.0,1.159,.498,110.2,110.4,,,0,
Drake,+0.3,68.1,1.324,.521,109.5,109.1,12,West,1,
Drexel,+1.2,65.7,1.064,.508,103.6,102.4,,,0,
Duke,+28.5,67.1,1.610,.568,122.6,94.1,1,East,1,
Duquesne,+4.4,69.7,1.208,.532,110.6,106.2,,,0,
ETSU,+12.3,66.9,1.382,.553,115.1,102.8,,,0,
East Carolina,-8.5,69.3,0.967,.464,102.0,110.5,,,0,
East Texas A&M,-6.3,69.3,1.248,.508,101.2,107.5,,,0,
Eastern Illinois,-4.8,66.6,0.976,.476,99.6,104.4,,,0,
Eastern Kentucky,-2.2,69.8,1.237,.527,113.3,115.5,,,0,
Eastern Michigan,-4.1,68.4,1.059,.497,102.4,106.6,,,0,
Eastern Washington,-1.3,69.1,1.115,.539,112.2,113.5,,,0,
Elon,+0.4,68.1,1.370,.525,113.0,112.7,,,0,
Evansville,-14.0,67.5,1.016,.499,98.5,112.4,,,0,
FDU,-4.6,64.5,1.025,.483,103.8,108.4,,,0,
Fairfield,+4.2,67.6,1.196,.491,109.6,105.4,,,0,
Florida,+20.4,72.5,1.395,.535,119.8,99.4,1,Midwest,1,
Florida A&M,-5.9,70.3,0.848,.497,99.7,105.6,,,0,
Florida Atlantic,+6.1,70.4,1.073,.525,110.5,104.4,9,West,1,
Florida Gulf Coast,+1.4,69.3,1.336,.518,110.5,109.1,,,0,
Florida International,+3.7,72.8,1.138,.515,109.5,105.8,,,0,
Florida State,+3.4,71.8,1.312,.523,111.9,108.5,,,0,
Fordham,+6.6,65.7,1.254,.496,105.9,99.3,,,0,
Fresno State,0.0,69.4,1.008,.510,104.9,104.9,,,0,
Furman,+8.9,66.7,1.311,.553,113.4,104.6,15,East,1,
Gardner-Webb,-24.4,71.0,0.750,.487,96.0,120.4,,,0,
George Mason,+9.0,64.9,1.198,.535,113.0,104.0,,,0,
George Washington,+11.8,70.3,1.236,.549,116.2,104.4,,,0,
Georgetown,+1.0,67.0,1.383,.496,108.7,107.6,,,0,
Georgia,+14.3,73.4,1.393,.546,120.5,106.2,,,0,
Georgia Southern,+1.7,71.3,1.077,.520,112.3,110.6,,,0,
Georgia State,-6.2,69.3,1.064,.452,101.3,107.5,,,0,
Georgia Tech,-5.1,71.6,1.179,.500,102.6,107.7,,,0,
Gonzaga,+27.1,70.4,1.887,.563,120.5,93.4,4,West,1,
Grambling,+0.3,69.9,0.822,.490,100.7,100.4,,,0,
Grand Canyon,+10.1,69.0,1.049,.517,109.2,99.1,14,West,1,
Green Bay,0.0,65.1,1.324,.553,114.0,114.0,,,0,
Hampton,-1.3,66.5,1.080,.470,104.3,105.6,,,0,
Harvard,+5.2,64.0,1.270,.532,108.1,102.9,,,0,
Hawaii,+13.6,72.1,1.015,.522,109.6,96.0,,,0,
High Point,+27.3,71.8,1.734,.566,124.5,97.2,,,0,
Hofstra,+14.5,65.6,1.208,.522,114.4,100.0,,,0,
Holy Cross,-7.7,66.1,1.059,.496,103.3,110.9,,,0,
Houston,+21.9,64.9,1.729,.521,118.4,96.5,,,0,
Houston Christian,-7.7,65.2,1.121,.497,102.5,110.3,,,0,
Howard,+13.8,70.0,1.200,.517,110.4,96.5,16,Midwest,1,
IU Indianapolis,-6.2,76.1,1.692,.529,109.3,115.5,,,0,
Idaho,+8.7,69.6,1.179,.531,112.7,103.9,16,South,1,
Idaho State,-2.4,66.9,1.072,.520,111.0,113.4,,,0,
Illinois,+21.7,66.2,1.652,.551,125.5,103.8,3,East,1,
Illinois State,+9.9,67.4,1.195,.541,111.0,101.1,,,0,
Incarnate Word,+0.8,66.3,1.045,.521,112.0,111.2,,,0,
Indiana,+8.9,66.6,1.627,.561,116.0,107.1,10,Midwest,1,
Indiana State,-1.3,68.9,1.277,.536,104.7,106.0,,,0,
Iona,+1.0,68.4,1.167,.519,105.8,104.8,,,0,
Iowa,+14.5,63.4,1.577,.566,118.2,103.7,,,0,
Iowa State,+24.4,68.2,1.670,.565,120.0,95.6,,,0,
Jackson State,-18.9,71.0,0.755,.457,98.1,117.0,,,0,
Jacksonville,-0.5,66.0,1.080,.517,109.8,110.3,,,0,
Jacksonville State,+6.4,66.7,1.061,.509,108.2,101.8,,,0,
James Madison,+1.0,67.0,1.068,.529,110.5,109.4,,,0,
Kansas,+9.1,68.2,1.336,.516,110.0,100.9,4,East,1,
Kansas City,-20.2,71.9,0.908,.468,96.1,116.2,,,0,
Kansas State,-3.1,73.8,1.302,.533,107.8,110.9,,,0,
Kennesaw State,+10.0,72.5,1.202,.522,114.2,104.2,,,0,
Kent State,+7.4,72.8,1.212,.531,114.7,107.4,,,0,
Kentucky,+9.9,69.8,1.524,.531,115.7,105.8,,,0,
LIU,+4.3,68.1,1.046,.533,108.3,104.0,,,0,
LSU,+4.2,68.6,1.336,.528,115.5,111.3,,,0,
La Salle,-10.4,66.5,1.074,.457,100.9,111.3,,,0,
Lafayette,-7.4,67.2,1.308,.492,102.9,110.3,,,0,
Lamar,+1.2,66.3,1.208,.486,105.0,103.8,,,0,
Le Moyne,-0.2,69.4,1.076,.529,105.1,105.4,,,0,
Lehigh,-1.1,67.1,1.182,.534,105.7,106.8,16,West,1,
Liberty,+11.8,65.0,1.955,.612,119.4,107.6,12,Midwest,1,
Lindenwood,+6.9,73.7,1.074,.501,105.5,98.6,,,0,
Lipscomb,+5.5,70.9,1.593,.549,111.9,106.4,,,0,
Little Rock,-5.2,68.5,1.094,.501,103.0,108.2,,,0,
Long Beach State,-4.0,71.3,1.023,.514,103.8,107.8,,,0,
Longwood,+5.0,70.0,0.914,.512,108.1,103.0,15,South,1,
Louisiana,-10.9,64.1,0.954,.471,99.3,110.2,,,0,
Louisiana Tech,+7.4,65.1,1.033,.491,106.1,98.7,,,0,
Louisiana-Monroe,-16.0,71.1,1.008,.479,101.1,117.1,,,0,
Louisville,+17.7,71.0,1.474,.564,119.4,101.7,,,0,
Loyola (IL),-13.6,65.9,1.061,.498,101.0,114.6,,,0,
Loyola (MD),-2.6,68.5,1.211,.512,108.1,110.7,,,0,
Loyola Marymount,+3.2,68.6,1.100,.528,107.0,103.8,,,0,
Maine,-9.0,65.4,0.992,.505,95.6,104.6,,,0,
Manhattan,-7.1,68.3,1.196,.486,107.1,114.2,,,0,
Marist,+8.7,66.5,1.366,.498,104.3,95.6,,,0,
Marquette,-0.9,70.1,1.360,.505,106.0,106.9,2,Midwest,1,
Marshall,+4.4,70.7,1.419,.551,114.7,110.3,,,0,
Maryland,-10.3,66.7,0.847,.481,104.1,114.4,,,0,
Maryland-Eastern Shore,-9.7,64.9,0.854,.494,97.3,107.0,,,0,
McNeese,+20.0,67.3,1.479,.523,117.6,97.7,,,0,
Memphis,-2.0,71.4,0.978,.487,104.6,106.6,5,Midwest,1,
Mercer,+10.1,70.9,1.327,.533,116.6,106.5,,,0,
Mercyhurst,+3.0,64.9,1.537,.504,105.2,102.2,,,0,
Merrimack,+3.2,63.7,1.292,.491,106.4,103.2,,,0,
Miami (FL),+15.5,69.3,1.438,.556,118.2,102.7,,,0,
Miami (OH),+21.0,72.1,1.533,.612,123.9,102.8,11,Midwest,1,
Michigan,+24.6,71.3,1.542,.581,121.3,96.7,2,West,1,
Michigan State,+15.7,66.8,1.609,.536,117.3,101.7,1,South,1,
Middle Tennessee,+3.9,67.3,1.243,.523,109.6,105.7,,,0,
Milwaukee,-4.9,69.5,1.279,.505,109.7,114.6,,,0,
Minnesota,+2.4,63.0,1.642,.542,109.9,107.5,,,0,
Mississippi State,-5.8,71.5,1.103,.515,107.4,113.2,8,West,1,
Mississippi Valley State,-26.6,69.9,0.792,.457,91.1,117.8,,,0,
Missouri,+6.3,68.4,1.137,.553,115.6,109.4,,,0,
Missouri State,+2.1,66.9,1.306,.517,110.5,108.4,,,0,
Monmouth,+2.7,67.5,1.219,.498,106.4,103.8,,,0,
Montana,+3.8,71.2,1.080,.564,108.6,104.8,,,0,
Montana State,+9.5,67.6,1.140,.551,114.4,104.9,,,0,
Morehead State,+0.8,67.4,1.136,.513,110.8,110.0,,,0,
Morgan State,-4.1,71.2,1.048,.483,105.1,109.3,,,0,
Mount St. Mary's,-3.0,67.7,0.895,.508,100.2,103.2,,,0,
Murray State,+4.7,72.3,1.179,.538,115.3,110.6,,,0,
NC State,+10.2,69.5,1.696,.553,119.0,108.8,11,East,1,
